epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.519,1.33457,4.62903,1.27937,0.02037,0.49248,0.02529,0.01541,1.21259,4.29851,1.25444,5.10559e-05,5.10559e-05,5.10559e-05
2,382.47,1.27802,3.92693,1.24927,0.36636,0.12545,0.10614,0.07442,1.18022,4.01087,1.26971,9.90103e-05,9.90103e-05,9.90103e-05
3,569.168,1.3188,3.34316,1.32433,0.27231,0.30403,0.21972,0.14779,1.22077,3.58209,1.35293,0.000143577,0.000143577,0.000143577
4,756.393,1.30027,2.88315,1.31899,0.34413,0.37839,0.32597,0.22151,1.23599,3.1985,1.39401,0.000138754,0.000138754,0.000138754
5,946.118,1.28196,2.51157,1.3112,0.46265,0.43307,0.43842,0.29312,1.23426,2.97245,1.40062,0.000133672,0.000133672,0.000133672
6,1136.36,1.26383,2.25345,1.29695,0.4529,0.49045,0.50302,0.33428,1.23112,2.75724,1.39263,0.00012859,0.00012859,0.00012859
7,1329.55,1.24945,2.06264,1.29104,0.45944,0.54966,0.55923,0.37028,1.24186,2.552,1.41948,0.000123508,0.000123508,0.000123508
8,1522.91,1.22782,1.90004,1.27594,0.51037,0.59041,0.59271,0.39065,1.23005,2.36822,1.41376,0.000118426,0.000118426,0.000118426
9,1713.14,1.21952,1.78169,1.26468,0.58503,0.61456,0.65192,0.4277,1.23568,2.21452,1.4217,0.000113344,0.000113344,0.000113344
10,1910.45,1.20704,1.6928,1.258,0.59685,0.63774,0.66828,0.43594,1.24636,2.10288,1.41754,0.000108262,0.000108262,0.000108262
11,2110.47,1.19642,1.63088,1.24233,0.60535,0.66668,0.69232,0.45615,1.21043,2.04457,1.40593,0.00010318,0.00010318,0.00010318
12,2322.56,1.18567,1.5489,1.24185,0.67611,0.67163,0.70607,0.46686,1.23101,1.93261,1.41925,9.8098e-05,9.8098e-05,9.8098e-05
13,2544.31,1.17096,1.4923,1.23793,0.66098,0.70239,0.73411,0.47795,1.21325,1.85797,1.39933,9.3016e-05,9.3016e-05,9.3016e-05
14,2761.05,1.16603,1.47187,1.24093,0.71258,0.70618,0.7562,0.4932,1.21114,1.7733,1.39566,8.7934e-05,8.7934e-05,8.7934e-05
15,2975.47,1.15572,1.41345,1.22655,0.71286,0.73575,0.76624,0.4944,1.21555,1.77207,1.40363,8.2852e-05,8.2852e-05,8.2852e-05
16,3186.14,1.1585,1.39544,1.23882,0.71299,0.74947,0.77105,0.50687,1.21955,1.68675,1.4029,7.777e-05,7.777e-05,7.777e-05
17,3410.76,1.14647,1.33661,1.21647,0.72366,0.734,0.76969,0.50456,1.24169,1.68,1.41027,7.2688e-05,7.2688e-05,7.2688e-05
18,3634.84,1.14837,1.35238,1.2173,0.71789,0.74553,0.77601,0.50757,1.21724,1.64986,1.39622,6.7606e-05,6.7606e-05,6.7606e-05
